id,dimension_id,subdimension_id,texto_pregunta,tipo_pregunta,opciones_respuesta
"D1.1.1","1","1.1","Respecto a los objetivos de tu negocio, ¿cómo se integra la tecnología en tu planificación?","SELECCION_UNICA","[{""texto"": ""Plan detallado con KPIs y presupuesto"", ""valor"": 100}, {""texto"": ""Lista de ideas sin plan formal"", ""valor"": 60}, {""texto"": ""Se habla pero no se escribe"", ""valor"": 20}, {""texto"": ""No es una prioridad"", ""valor"": 0}]"
"D1.1.2","1","1.1","¿Cómo gestiona tu empresa la inversión financiera en tecnología?","SELECCION_UNICA","[{""texto"": ""Presupuesto anual específico"", ""valor"": 100}, {""texto"": ""Si hay excedentes"", ""valor"": 50}, {""texto"": ""Solo si algo se daña"", ""valor"": 10}]"
"D1.1.3","1","1.1","¿Con qué horizonte de tiempo sueles planificar las grandes decisiones tecnológicas?","SELECCION_UNICA","[{""texto"": ""A largo plazo (2-3 años)"", ""valor"": 100}, {""texto"": ""A mediano plazo (1 año)"", ""valor"": 70}, {""texto"": ""A corto plazo (próximos meses)"", ""valor"": 30}, {""texto"": ""Sin horizonte definido"", ""valor"": 0}]"
"D1.1.4","1","1.1","¿Cuál es el principal objetivo que buscas al adoptar nuevas tecnologías?","SELECCION_UNICA","[{""texto"": ""Transformar el modelo de negocio"", ""valor"": 100}, {""texto"": ""Ganar ventaja competitiva"", ""valor"": 80}, {""texto"": ""Mejorar la eficiencia"", ""valor"": 50}, {""texto"": ""Mantener la operatividad"", ""valor"": 10}]"
"D1.1.5","1","1.1","¿Tu empresa analiza formalmente las tecnologías que utilizan tus competidores?","BINARIA","[{""texto"": ""Sí"", ""valor"": 100}, {""texto"": ""No"", ""valor"": 20}]"
"D1.1.6","1","1.1","¿Has identificado nuevas oportunidades de negocio gracias a la tecnología?","SELECCION_UNICA","[{""texto"": ""Sí, y tenemos un plan para explorarlas"", ""valor"": 100}, {""texto"": ""Sí, pero sin un plan de acción"", ""valor"": 60}, {""texto"": ""Alguna oportunidad aislada"", ""valor"": 30}, {""texto"": ""No hemos identificado oportunidades"", ""valor"": 0}]"
"D1.1.7","1","1.1","¿Los objetivos de la estrategia digital son conocidos y comprendidos por todo el equipo?","SELECCION_UNICA","[{""texto"": ""Sí, todo el equipo los conoce"", ""valor"": 100}, {""texto"": ""Solo los líderes de área"", ""valor"": 50}, {""texto"": ""Solo la dirección"", ""valor"": 10}]"
"D1.2.1","1","1.2","¿Cuál es el rol de los líderes en los proyectos de tecnología?","SELECCION_UNICA","[{""texto"": ""Lideran y patrocinan activamente"", ""valor"": 100}, {""texto"": ""Apoyan pero delegan"", ""valor"": 60}, {""texto"": ""Son neutrales"", ""valor"": 30}, {""texto"": ""Son resistentes al cambio"", ""valor"": 0}]"
"D1.2.2","1","1.2","¿Con qué frecuencia el equipo directivo busca formación sobre nuevas tecnologías?","SELECCION_UNICA","[{""texto"": ""Constantemente (mensual o más)"", ""valor"": 100}, {""texto"": ""Regularmente (varias veces al año)"", ""valor"": 70}, {""texto"": ""Ocasionalmente (una vez al año o menos)"", ""valor"": 30}, {""texto"": ""Raramente o nunca"", ""valor"": 0}]"
"D1.2.3","1","1.2","¿Cómo se gestionan las nuevas ideas o propuestas de los empleados?","SELECCION_UNICA","[{""texto"": ""Con un programa formal de intraemprendimiento"", ""valor"": 100}, {""texto"": ""Con un buzón de sugerencias"", ""valor"": 50}, {""texto"": ""De manera informal"", ""valor"": 20}, {""texto"": ""No hay un mecanismo"", ""valor"": 0}]"
"D1.2.4","1","1.2","¿Cómo reacciona la empresa si un proyecto tecnológico falla?","SELECCION_UNICA","[{""texto"": ""Como una oportunidad de aprendizaje"", ""valor"": 100}, {""texto"": ""Con frustración, pero se corrige"", ""valor"": 40}, {""texto"": ""Se busca un responsable y se evitan riesgos"", ""valor"": 10}]"
"D1.2.5","1","1.2","¿Con qué rapidez puede tu empresa adoptar una nueva herramienta de bajo costo?","SELECCION_UNICA","[{""texto"": ""En menos de una semana"", ""valor"": 100}, {""texto"": ""En unas pocas semanas"", ""valor"": 60}, {""texto"": ""Puede tardar más de un mes"", ""valor"": 20}]"
